id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
289,,,,"A support group for parents of multiples (twins, triplets, etc.). The group meets once a month. Parents can talk about stresses, experiences, and other things that deal with being the parents of multiple births. Parents can be pregnant with multiples or have multiples of any age.",,,,,"Twice the Spice",,,
290,,WSTSC,,"Services provided: Vocational and academic education. A wide variety of open-entry courses are available; automotive and collision repair technology; construction trades; cosmetology; early childhood education assistant program; engineering technology/CADD; food service/culinary arts; natural resources; professional business and medical careers; protective services occupation program; welding technology and more. Summer classes are 3 weeks long scheduled in late June through early July.",,,,,"West Sound Technical Skills Center",680545967,,http://www.westsoundtech.com
291,,WSTC,,"A non-profit agency providing several services including state certified, outpatient alcohol and drug treatment, evaluation and DWI assessment, housing, counseling, life-skills, vocational, and re-entry services. Accepts most insurances including Medicaid and DSHS, and offer a sliding scale.

We believe that everyone is capable of change and self-sufficiency if given the opportunity, and we create innovative programs that directly respond to the barriers of our participants thereby improving their lives and restoring the hope that they can be successful, productive members of their community.",,,,,"West Sound Treatment Center",911184237,,http://www.westsoundtreatmentcenter.org
292,,WSYFC,,"West Sound Youth for Christ presents a Christian perspective while helping teens deal with life issues.  They provide campus related ministries for junior high, middle and high school students.  They are also a State Licensed Child Placing Agency for foster care and train foster children to live independently.  Call for further information and meeting places and times for youth activities.",,,,,"West Sound Youth For Christ",91-1189379,,http://www.westsoundyfc.org
293,,WEOS,,"It is our mission to enhance wellness, to encourage the fulfillment of human potential, and to promote healthy and safe communities. To these ends, we provide mental health, chemical dependency, housing, and supported employment services.",,,,,"West End Outreach Service",91-6001732,,http://www.forkshospital.org
294,,NKFL,,"NK Fishline is a food bank and thrift shop that provides emergency services to people who live in the North Kitsap area. Full service is only available to Poulsbo, Suquamish and Keyport residents.",,,,,"North Kitsap Fishline",911244431,,http://www.nkfishline.org
295,,"CCFD #1",,"Clallam County District #1 Fire Department serves Forks and Beaver.  Call 911 for emergencies.",,,,,"Clallam County Fire District #1",,,
296,,PAFD,,"Call 911 should you have an emergency, or call 360-452-4545 for general information. Listen to your local radio station 1450 AM. 
",,,,,"Port Angeles Fire Department",,,https://www.cityofpa.us/firedept.htm
297,,"Sequim Fire Department",,"This is the business line for the Fire Department in Sequim.  For emergencies, Dial 911.",,,,,"Clallam County Fire District #3",,,
298,,BIFD,,"The mission of the Bainbridge Island Fire Department is to safeguard lives, property and the environment by responding to fires, medical emergencies and disasters. We recruit, train and equip our members to deliver programs aimed at emergency response, public education, prevention and recovery.",,,,,"Bainbridge Island Fire Department",,,"http://www.bifd.org/component/option,com_frontpage/Itemid,1/"
299,,"Fire Dist #18",,"Our mission will be accomplished through preparation, prevention, or the provision of emergency medical, fire, or rescue services.  We stand ready to assist the citizens of Poulsbo and surrounding communities in any emergency",,,,,"Poulsbo Fire Department",,,http://www.poulsbofire.org/
300,,SKFR,,"South Kitsap Fire and Rescue serves: Port Orchard, Olalla, Yukon Harbor, Sunnyslope, Bethel, Burley, Rocky Point, Navy Yard City, Manchester, Southworth, Gorst, Wye Lake and South Kitsap County. EMERGENCY: 911",,,,,"South Kitsap Fire and Rescue",,,http://www.skfr.org
301,,POPD,,"The Port Orchard Police Department is responsible for protecting life and property; preserving the peace; preventing crime, maintaining positive community relations; apprehending and convicting criminal violators; recovering property; planning and regulating traffic and encouraging and developing community involvement and interaction.",,,,,"Port Orchard Police Department",,,http://www.cityofportorchard.us/police.htm
302,,CCSWW,,"CCS's Grays Harbor Family Center is one of 13 family center operated by CCS, the largest local nonprofit human services provider in the state, in Western Washington. It seeks to provide individualized and tailored support to families and individuals through its integrated programs, targeting the most needy and vulnerable. Services are provided without regard to religion, gender, race, creed, ethnic origin, marital status, sexual orientation, age, disability, Vietnam-er veteran status, or political ideology.",,,,,"Catholic Community Services - Grays Harbor",911585652,,http://www.ccsww.org
303,,HMC,,"Harrison Medical Center is a 347-bed acute-care facility serving residents of Kitsap, Mason, Jefferson, and Clallam counties.  Harrison offers an impressive range of services and programs.  These include 24-hour emergency care;  cardiovascular services, including open-heart surgery; chest pain clinic and catheterization lab; oncology; critical care; inpatient and outpatient surgery and laparoscopic surgeries; orthopaedics, rehabilitation, a sleep center, retinal laser, extensive diagnostic imaging with stereo tactic breast biopsy and spiral CT scanner.  Harrison also has a radiation oncology center with state-of-the-art electron beam therapy.  Women's and children's services along with outpatient surgery, rehabilitation and 24-hour emergency care are the cornerstones of Harrison Medical Center-Silverdale.  The Orthopaedic Center at Harrison Silverdale campus expands our promise of exceptional healthcare by ensuring state-of-the-art orthopaedic and joint replacement surgery.  Harrison HealthPartners is a rapidly expanding, hospital-owned, multi-specialty medical group, providing award winning patient focused healthcare to best meet the needs of our communities throughout the Kitsap and Olympic Peninsula.",,,,,"Harrison Medical Center",910565546,,http://www.harrisonmedical.org
304,,"Bremerton Food Line",,"Provides food assistance and referral for other services to reduce hunger and improve self-sufficiency for those in our community.",,,,,"Bremerton Foodline",911111086,,http://www.bremertonfoodline.org
305,,,,"Georgann Falotico has a Masters degree in Psychology and is a licensed mental health counselor. She offers treatment for various issues including stress, anxiety, depression, eating disorders, sexual abuse, women's issues, and life transitions.",,,,,"In Depth Counseling",,,http://indepthcounseling.net
306,,,,"Rachel Burgett has an MA in Psychosocial Nursing and is an ARNP. She specializes in treatment for anxiety, bereavement, depression, divorce, marriage, parenting, sexual issues, women's issues, and medication management.",,,,,"Abraxas Counseling Services",,,
307,,,,"This agency provides several therapists with various specialties.",,,,,"Agate Passage Psychological Services",911624966,,http://www.agatepassage.com
308,,,,"This agency provides advanced pastoral counseling to individuals and couples, especially in the area of marriage.",,,,,"Alpha Counseling",91-1006670,,
309,,,,"Offers individual counseling to individuals.  Specializes in brief therapy, abortion, adolescence, and aging issues.",,,,,"Julie Elkinton, MS, LMHC",,,
310,,"Andy Visser",,"This agency provides services to children, adolescents, adult in the following areas:  depression, anxiety/stress management, parenting skills, behavioral problems, women's issues, sexual abuse issues, eating disorders, compulsive behaviors, alcohol & substance abuse evaluation, psychological testing, play therapy, medication evaluations, pain management, anger management, relationship problems, assertiveness & communications skills, and panic disorders.",,,,,"Peninsula Psychological Center",,,http://www.kitsapcounselor.com
311,,,,"Individual counseling for adults and teens.  Relationship counseling for couples focusing on communication, Medical Hypnotherapy for weight loss, cancer, autoimmune disease, stop smoking, sports/stage performance, irritable bowel syndrome, fibromyalgia, menopause, rheumatoid arthritis, cancer recovery, pain management, non-organic male impotence stress management, anxiety, and phobia.  Offering Slender for Life Hypnotic Weight Management program.",,,,,"Roger Moore's Counseling and Hypnotherapy",20-4359000,,http://www.hypnosishealthinfo.com
312,,,,"Susan Anderson provides to the following populations: children, adolescents, adults, individuals, couples, and families with issues including anxiety, panic, bereavement, depression, eating disorders, family parenting, sexual abuse, and women's issues",,,,,"Susan Anderson, MA, LMHC, RN",,,
313,,,,"Populations served: adults, Christian, stress, anxiety, youth, couples, marriage",,,,,"Kathy G Warcup, MA",,,
314,,"Shannon McKee, MSW",,"Three therapists for marriage and family counseling, individual depth work, mindfulness based stress reduction.",,,,,"Pacific Counseling Clinic",,,
315,,"Celebrate Life Center",,"Provides a pregnancy support center offering services to any and all that find a need in regard to family and raising children. Offers free pregnancy testing and consultation, education classes in parenting, couples counseling, finance, nutrition and a referral program to other services in our area.  Unbiased and open to helping everyone.",,,,,"Celebrate Life Crisis Pregnancy Center",911281980,,http://www.celebratelifeinc.org
316,,"Sidney Professional Building",,"Anger Management and Domestic Violence Specialist. Therapy for anxiety, panic disorder, depression, and Adult ADHD.  Bill Boyett is licensed by the State of Washington as a Licensed Marriage and Family Therapist (License # LF00001204)",,,,,"Bill Boyett, MA, LMFT",,,http://billboyettlmft.com
317,,CCFT,,"This agency has therapists with varying specialties.  This agency also offers services such as play therapy, abuse issues, anger management and assessment, and marriage and family therapy.",,,,,"Center for Child and Family Therapy",,,http://www.ccftherapy.com/
318,,"Dana Doering, ARNP",,"Dana Doering, ARNP, has prescriptive authority and serves the following population:  early childhood ADHD, developmental assessment, depression, anxiety, grief/loss, eating disorders, anger management, custody, and divorce.",,,,,"Dana Doering and Associates",,,http://www.deandoering.com
319,,"Mark Gray MA",,"Mark Gray, MA, serves families, marital issues, and provide play therapy.",,,,,"Mark Gray, MA, LMHC",,,
320,,"HC Joe Raymond, MS, CDP, HRMD",,"Diane Kelly, MA, LMHC, CDP, CDVP, is a State Certified anger management/domestic violence perpetrator therapist.  Diane also served persons with chemical dependency and mental health issues.  Joe Raymond also offers the same services as well as parenting classes.",,,,,"New Horizons Counseling",,,
321,,,,"Sarah Boss works with relational distress, family dysfunction, eating disorders, grief, and 12-step recovery issues.  Counselor in Training for EMDR.",,,,,"Sarah Boss, MS, LMHC, EMDR",,,
322,,"Diane Johnson, PhD",,"Diane Johnson, Ph.D., works with child behavior disorders, trauma, family conflict, depression, anxiety, and marriage counseling.",,,,,"Discovery Center for Behavioral Health",,,
323,,,,"Kay Drescher offers services for the following concerns:  PTSD, women issues, eating disorders, anorexia, bulimia, binge eating, depression, and self-esteem issues.",,,,,"Kay Drescher, MA, LMFT, EMDR",,,http://www.kaydrescher.com
324,,,,"Shakti Dieste provides services in the following area:  emotional healing, smoking cessation, weight control, and energy work.",,,,,"Higher Power Healing",,,http://www.higherpowerhealing.com
325,,,,"Karen Gorman serves adults, children, couples, and adolescents facing depression, anxiety, sexual abuse, eating disorders.",,,,,"Karen Gorman, MA, LMHC",,,
326,,SSA,,"We pay retirement, disability and survivors benefits to workers and their families and administer the Supplemental Security Income program. We also issue Social Security numbers.",,,,,"Social Security Administration - Grays Harbor",,,http://www.socialsecurity.gov
327,,,,"Brittney Morgensen works with individuals, families, adolescents, and groups. She works from a systems perspective and the focus is on the individual/family strengths.  She has a strong interest in working with individuals who struggle with eating disorders.",,,,,"Brittney Morgensen, MA, LMFT",,,
328,,,,"Solo private counseling practice in a comfortable home office serving adolescents, adults, and couples.",,,,,"Ellen M Johnson, MS, LMHC",,,http://www.bainbridgepsychotherapy.org
329,,KSAC,,"Kitsap Sexual Assault Center specializes in individual/family therapy for men, women, teens and children who are victims/survivors of sexual abuse; support groups; advocacy;  crisis intervention and prevention/education.",,,,,"Kitsap Sexual Assault Center",911132873,,http://www.ksacservices.com
330,,NITC,,"Tribal Center",,,,,"Squaxin Island Tribe",,,http://www.squaxinisland.org/
331,,,,"Offers counseling to adult men and women dealing with stress, grief & loss, depression, divorce, life changes, sexual abuse, and women's issues.  Special interest in working with dreams as part of therapy.",,,,,"Mary Stowell, PhD, LMHC",,,
332,,,,"Populations Served: children families behaviors anger grief depression worry trauma sexual abuse attention focus add adhd conflict separation divorces and tray play therapy parent eye movement desensitization and reprocessing emdr",,,,,"Sally McIntosh Stoehr, LMFT",,,http://www.sallymcintoshstoehr.com
333,,,,"Hoffman and Hoffman specialize in depression, self esteem, marital, premarital, ADD, and ADHD.",,,,,"Hoffman and Hoffman",,,
334,,"Jumping Mouse Childrens Center",,"Jumping Mouse Children’s Center transforms children’s lives by providing expressive mental health therapy for as long as necessary. We nurture each child’s healthy development and supportive relationships at home and in the community.",,,,,"Jumping Mouse Children's Center",94-3096216,,http://www.jumpingmouse.org
335,,"Michael Corpolongo PhD",,"Michael Corpolongo specializes in humanistic, existential, behavioral, cognitive, individual, child, and family psychological testing.",,,,,"Kitsap Family Services",,,
336,,CCSWW,,"Catholic Community Services (CCS) is a faith-based and values-driven outreach of the Catholic Church in Western Washington. Under the leadership of Archbishop Brunett, and the Board of Trustees, our staff and volunteers answer the Gospel call to loving and compassionate service with particular concern for the sanctity of human life from conception to natural death and for the dignity of every human person. The workers of CCS and AHA come from many faith traditions and actively respond to the call of the Catholic Church in Western Washington to serve those most in need.",,,,,"Catholic Community Services - Clallam",,,http://www.ccsww.org
337,,,,"Populations served: Belfair, Mason County youth, adolescent individual and family  anger stress sexual abuse domestic violence perpetrator victim depression divorce eating disorders marriage parenting anxiety multiple personalities",,,,,"David Stehman, MA, LMHC",,,
338,,,,"Hospice of Kitsap County provides dignity, compassion, and comfort for person's completing life's journey and for those who care for them.",,,,,"Hospice of Kitsap County",911089902,,http://www.hospicekc.org
339,,"Anita LaRae, MS, MEd, LMHC",,"Anita LaRae works with the following issues:  relationships, divorce, personal coaching, depression, anxiety, transition, stress management, adults and teens.",,,,,"LaRae and Associates",,,http://www.laraetherapy.com/
340,,"Linea Lauer, MA Sociology & Education, LMHC",,"Linnea Lauer serves the following issues:  attention deficit hyperactivity, bereavement, depression, parenting, sexual abuse, children and youth.",,,,,"Liberty Bay Counseling Services",,,
341,,,,"Ms. Marks works with the following populations: individual, family, parenting, depression, anxiety, trauma, and grief.",,,,,"Lisa Marks, MA, LMHC",,,
342,,,,"Dr. Roger Libby is an internationally recognized sexologist, social psychologist, sociologist and a board certified sex therapist with a practice in Seattle and Poulsbo, Washington, where he helps young, middle-aged and older people with sexual and relationship problems.",,,,,"Roger Libby, PhD",1558400895,,http://www.drrogerlibby.com
343,,"Central Mason Fire and EMS",,"Fire Department.",,,,,"Mason County Fire District #5 - Central Mason Fire and EMS",91-1226836,,http://www.cmfe.org
344,,,,"Marilyn McIntyre serves the following:  anxiety, panic, depression, divorce, marriage, parenting, sexual abuse, women's issues",,,,,"Marilyn C McIntyre, MSW, LICSW, Certified Sex Therapist",,,
345,,"Mens Therapy Group",,"This therapy group is facilitated by Doug McLemore and Steve Powell.  They help men deal with anger, relationship, parenting issues, work issues, and marriage,",,,,,"Men's Therapy Group",,,
346,,"Janice Yount, M.Ed, LMHC",,"Independent private mental health group practice with four providers.  All with many years of experience and varied in areas of speciality.",,,,,"New Growth Behavioral Health Services",,,
347,,TRCC,,"The Right Choice Counseling Service provides outpatient drug and alcohol, assessment, treatment, relapse prevention, anger management classes, and State certified domestic violence/perpetrator treatment.",,,,,"The Right Choice Counseling Service",,,http://therightchoicecounseling.com
348,,"Beacon of Hope",,"This agency provides assessments, out patient substance abuse treatment, alcohol drug information school, and referrals for inpatient treatment.",,,,,"Safe Harbor Recovery Center, Inc.",,,
349,,,,"Sherry and Martin Bishop specialize in Individual and couple counseling, family and group, addictions, anger and grief, men's issues and women's issues.",,,,,"Bishop Counseling",,,
350,,,,"Sequim Creative Counseling is a small private practice with two mental health counselors who cover a number of issues including women's issues, child therapy, spirituality issues, depression, and trauma.",,,,,"Sequim Creative Counseling",,,
351,,AFD,,"Fire Department and Ambulance Services.",,,,,"Aberdeen Fire Department",,,http://aberdeenwa.gov
352,,,,"Cosmopolis Fire Department.",,,,,"Cosmopolis Fire Department",,,http://www.cosmopolis.us.com/fire-department/
353,,,,"Fire Department",,,,,"Hoquiam Fire Department",,,http://www.cityofhoquiam.com/fire
354,,LBFD,,"Fire Department",,,,,"Long Beach Fire Department",,,http://www.longbeachwa.gov/fire/
355,,LBPD,,"Long Beach Police Department.",,,,,"Long Beach Police Department",,,http://www.longbeachwa.gov
356,,"MCFD #13",,"Fire Department.",,,,,"Mason County Fire District #13 - Elma",,,
357,,"MCFD #1",,"Fire Station",,,,,"Mason County Fire District #1 - Hoodsport",,,
358,,"Shelton Fire Department",,"Fire Department.",,,,,"Mason County Fire District #11 ",,,
359,,"MCFD #18",,"Fire Department.",,,,,"Mason County Fire District #18 - Lake Cushman",,,
360,,NMRFA,,"Fire Department of Belfair and Tahuya - Mason County.",,,,,"North Mason Regional Fire Authority",46-4101262,,http://www.northmasonrfa.com
361,,"MCFD #3",,"Grapeview Fire Department.",,,,,"Mason County Fire District #3 - Grapeview",,,http://grapeviewfire.com
362,,,,"Fire Department.",,,,,"Mason County Fire District #4 - Arcadia/Kamilche",91-1358923,,http://www.masonfire4.com
363,,"MCFD #9",,"Fire Department.",,,,,"Mason County Fire District #9 - Skokomish Valley",,,
364,,"Mason County Sheriff",,"Sheriff's Office of Mason County.",,,,,"Mason County Sheriff's Office",,,http://so.co.mason.wa.us/
365,,,,"Fire Department.",,,,,"McCleary Fire Department",,,http://www.cityofmccleary.com
366,,MFD,,"Fire Department.",,,,,"Montesano Fire Department",,,http://www.montesano.us/fire
367,,,,"Fire Department.",,,,,"Ocean Shores Fire Department",,,http://www.osgov.com/fire
368,,OSPD,,"Ocean Shores Police Department.",,,,,"Ocean Shores Police Department",,,http://www.osgov.com/police
369,,,,"Provides law enforcement and 9-1-1 services throughout Pacific County.",,,,,"Pacific County Sheriff's Department",,,http://www.co.pacific.wa.us/sheriff/index.htm
370,,RFD,,"Fire Department.",,,,,"Raymond Fire Department",,,http://www.raymondfire.org
371,,,,"Raymond Police Department.",,,,,"Raymond Police Department",,,http://www.raymondpolice.com
372,,,,"Provides law enforcement services to the city of Shelton.",,,,,"Shelton Police Department",,,http://www.ci.shelton.wa.us/police/
373,,SBFD,,"Fire Department.",,,,,"South Bend Fire Department",,,
374,,SBPD,,"Police Department.",,,,,"South Bend Police Department",,,http://www.southbend-wa.gov/en/police-department
375,,"MCFD #6",,"Fire Department",,,,,"Mason County Fire Protection District #6 - Union",,,http://www.mcfd6.com
376,,WFD,,"Fire Station.",,,,,"Westport Fire Department",91-6001292,,
377,,"St Vincent's Women's Shelter",,"A twenty-four hour telephone service that provides information and referrals, does some crisis intervention, but primarily is a listening ear for people in the community who are experiencing situational distress and have no where else to turn.",,,,,"Crisis Clinic of the Peninsulas",91-1020106,,http://www.crisisclinicofthepeninsulas.org
378,,"ARC Clallam",,"The American Red Cross, a humanitarian organization led by volunteers and guided by its Congressional Charter and the Fundamental Principles of the International Red Cross Movement, will provide relief to victims of disasters and help people prevent, prepare for, and respond to emergencies.",,,,,"American Red Cross - Olympic Peninsula Chapter",,,http://www.peninsularedcross.org
379,,OA,,"Overeaters Anonymous is a fellowship of individuals recovering from compulsive overeating. Shared experience and mutual support. Group based on the AA 12-step model. Anorexics and bulimics are also welcome.",,,,,"Overeaters Anonymous - Grays Harbor",,,http://www.oa.org
380,,,,"EMPLOYMENT PLANNING and  ASSESSMENT:  
Individually designed services provide participants with the opportunity to explore work options and try out a job.  Job tryouts can be developed within the local business community or at one of Morningside's structured work areas to gather information regarding vocational strengths, interests, abilities and needs in order to obtain and maintain employment.

COMPETITIVE JOB PLACEMENT:
Through partnerships with local employers, Morningside identifies and develops employment opportunities for participants based on individual skills, interests, abilities, and vocational goals.  In addition to the hiring process; on-the-job training, structured follow-up, job retraining, and employer consultation services can be provided.

INDIVIDUAL SUPPORTED EMPLOYMENT:
Supported employment is a creative approach to employment for people with disabilities.  Participants receive individualized training and long-term support to ensure job satisfaction and that employee performance meets employer standards.",,,,,"Morningside - Grays Harbor",910757099,,http://www.morningsideservices.com
381,,GHCDEM,,"The Division of Emergency Management actively prepares for and participates in the following functions: Disaster Planning, Disaster/Emergency Response Planning, Disaster/Emergency Recovery Planning, Emergency Operations Center, Emergency Preparedness, Exercises for Disaster & Emergency Response, Hazardous Materials Response Planning, Public Education & Outreach, and Responder Training.",,,,,"Grays Harbor County Emergency Management",,,http://www.co.grays-harbor.wa.us/info/DEM/Index.asp
382,,PCDEM,,"Emergency preparedness. Public Education. Educational materials and displays. Coordination of Disaster Response and Recovery.",,,,,"Pacific County Emergency Management",,,http://www.co.pacific.wa.us/pcema
383,,,,"Food pantry.",,,,,"McCleary Food Bank",911594489,,
384,,"Evergreen Healthcare LLC",,"Shelton Health and Rehabilitation Center (Evergreen at Shelton, L.L.C.) provides a continuum of care that includes professional nursing care, rehabilitative therapy and support services to residents enabling them to maintain their independence. We are a 76 bed Skilled Nursing Facility designed to meet both short and long-term care needs. We participate in Medicare/Medicaid programs and contract with several HMOs.",,,,,"Shelton Health and Rehabilitation Center",91-2134798,,http://sheltonhealthandrehab.com/
385,,CNS,,"The mission of Crisis Support Network is to provide advocacy services to survivors and others affected by domestic violence and sexual assault in Pacific County.",,,,,"Crisis Support Network",91-1258998,,http://www.crisis-support.org
386,,IAC,,"The Kitsap Immigrant Assistance Center (KIAC) is a Kitsap County-based 501(c)3 non-profit organization which was started in 2004.  We are dedicated to helping immigrants in our community and the people/organizations that help them.  There are a multitude of organizations in our area that help immigrants.  We aim to be a bit different by acting as a clearinghouse for all information available to help new immigrants.  If you have a problem that no single agency seems to be able to address, give us a call!  We specialize in assisting immigrants with usual (and not so usual) problems.",,,,,"Kitsap Immigrant Assistance Center",753182528,,http://www.kitsapiac.org
387,,ECHHO,,"ECHHO is a non-profit organization that works in partnership with volunteers and community organizations of Jefferson County to provide transportation, chores, social supports and medical equipment to residents in need so they may continue to live independently.",,,,,"ECHHO - Ecumenical Christian Helping Hands Organization",911896129,,http://www.echhojc.org
388,,"St Vinnies",,"Volunteers respond to messages left by persons in need.  This agency works closely with Olympic Communication Action Programs to provide assistance with food, clothing, shelter, rent, utilities, transportation (Jeffco bus vouchers or gas cards), and medical needs.",,,,,"St Vincent de Paul - Jefferson",264764012,,
389,,UWMC,,"United Way of Mason County",,,,,"United Way of Mason County",91-6068924,,http://www.unitedwaymasonco.org
390,,LCS,,"Lutheran Community Services NW-- Parent Line, provides: child care resource and referral; parenting classes; confidential Warm Line; child care for homeless and chemically dependent families, supervised visits, and operate a family center at Mt. Angeles View Public Housing.  In Kitsap County, the agency also manages the Navy Respite program and other military child care programs.",,,,,"Lutheran Community Services Northwest",930386860,,http://www.lcsnw.org
391,,KHCS,,"Kitsap Home Care Service is a dba of Kitsap Tenant Support Services. Provide help to elderly people, children who are disabled in any way and disabled adults. Assist people with essential shopping, cooking, laundry, personal care, hygiene, toileting, medication treatment plans and may accompany the client to medical appointments.",,,,,"Kitsap Home Care Service",911794624,,http://kitsaphomecare.com
392,,NOLS,,"Provides full library access to all individuals in Clallam County. The system includes a main library in Port Angeles and branches in Sequim, Forks and Clallam Bay.",,,,,"North Olympic Library System",91-1239366,,http://www.nols.org
393,,OLYCAP,,"Olympic Community Action is more than just a collection of human service programs.  It is a spirit.  It is the spirit of people working together, changing lives - ""helping people to help themselves.""  That's just the way we do things here on the beautiful Olympic Peninsula.",,,,,"Olympic Community Action Programs - Clallam",,,http://www.olycap.org
394,,"Clallam County Prevention Works!",,"Prevention Works! A Community Coalition of Clallam County is a 501(c)3 organization that advocates, educates, and invests in our children.  Through prevention efforts, we work to end child abuse and neglect, substance abuse and violence.  List-serve of over 250 community members receive updates on information and trainings related to prevention issues.   Prevention Works! wants to provide members of the community with links to agencies or organizations.  Working to develop a comprehensive prevention plan for the County. Members include agency professionals, school district, government entities. Membership is free and open to anyone. Maintains list of Clallam County Parent Education opportunities as well as area trainings.",,,,,"Prevention Works! A Community Coalition of Clallam County",651190690,,http://www.preventionworkscc.org
395,,VHOCC,,"Provides supportive services to families dealing with a terminal illness. They are able to provide counseling, hospital equipment, volunteer help, grief support and community education programs. An adult Grief Recovery/Support Group is available, call for more information.",,,,,"Volunteer Hospice of Clallam County",911076440,,http://www.vhocc.org
396,,NMCRS,,"Founded in 1904, the Navy-Marine Corps Relief Society is a private non-profit charitable organization. It is sponsored by the Department of the Navy and operates nearly 250 offices ashore and afloat at Navy and Marine Corps bases throughout the world. The Navy-Marine Corps Relief Society provides need based financial assistance and other services to members of the Naval Services of the United States, and their eligible family members and survivors. We offer financial counseling, no-interest loans, grants, various support services,as well as referrals to other community-based resources when available. There are no fees for such assistance.
",,,,,"Navy and Marine Corps Relief Society",,,http://www.nmcrs.org
397,,SOS,,"Offers a support group to help the friends and family of persons who have committed suicide.  The non-judgmental group helps members talk about their grief, share their feelings, and feel comfortable about discussing their loss.  This is an open group so members may attend as few or as many times as they wish.",,,,,"Survivors of Suicide",,,http://crisisclinicofthepeninsulas.org/survivors-of-suicide-support-group/
398,,"Bremerton Area Chamber of Commerce",,"Promotes business interests in the local area.  Provides information / referral. This is also the place for tourists to get information about our area.",,,,,"Bremerton Chamber of Commerce",910153620,,http://www.bremertonchamber.org
399,,BYS,,"BYS serves youth 12-19.  The primary program is counseling, including crisis intervention and mental health assessment at no cost.  Counselors provide outreach, crisis intervention and  counseling to youth and families.  Counselors are located at schools (Bainbridge High School, Woodward Middle School).  BYS also hosts an online job posting service for local youth to connect with Island employers, facilitates community service hour fulfillment for local teens, partners with Kitsap County Juvenile Courts to provide Diversion Services, hosts an annual recognition program for teens who volunteer, and much more.",,,,,"Bainbridge Youth Services",237396474,,http://www.bainbridgeyouthservices.org
400,,"Soroptimist Foundation",,"Soroptimist International is a worldwide organization of classified service clubs for women, founded in 1921. Soroptimist clubs are part of communities in many countries throughout the world and have more clubs and more members than any other similar organization. There are now almost 9500 members in nearly 120 countries and territories.
Soroptimists are professional and executive business women of all ages, cultures, and ethnic groups. Members represent a wide array of professions, including doctors, attorneys, teachers, chief executive officers of companies, business owners and government officials.",,,,,"Soroptimist International of Sequim",916073419,,http://www.sisequim.org
401,,CVAC,,"To assist victims/survivors of robbery, child abuse, homicide, identity theft, and all other general crimes. For 24/7 crisis/support call 1-800-346-7555, or 360-874-8270 locally.",,,,,"Crime Victim Assistance Center",,,http://www.ocva.wa.gov
402,,,,"Our mission is to provide a helping hand where and when it’s needed for citizens of all ages in Clallam and Jefferson counties who need: skills, care, guidance and extra support to succeed at whatever age, whatever task, with an emphasis on the needs of those with developmental and other disabilities.",,,,,"Concerned Citizens",911156809,,http://www.concernedcitizenspnw.org
403,,,,"Kitten Rescue of Mason County is dedicated to placing abandoned and unwanted kittens with safe, loving homes. We have hundreds of kittens veterinarian-tested, immunized, and altered each year.  We are registered as a non-profit charity and your donations are considered tax-deductible under IRS regulations.

We are frequently contacted within the community to give advice on rescue, adoption, health, nutrition, and veterinary services. We direct people the best we can to aid them in bettering the lives of the cats in question. This website is one of our tools, and you might find some helpful information in our ""care"" section.",,,,,"Kitten Rescue of Mason County",912101565,,http://www.kittenresq.net
404,,"St David of Wales",,"St David of Wales Episcopal Church provides a number of services to help the homeless and less fortunate in Mason County.  Help they provider includes a cold weather shelter at the church, community dinner, showers, and hygiene products.",,,,,"Community Lifeline",,,
405,,SPIPA,,"This program assists tribal members in education, vocational training, job readiness, work experience, and other identified needs of the family.",,,,,"South Puget Intertribal Planning Agency - Kitsap",911065249,,http://www.spipa.org
406,,SBCO,,"South Beach Christian Outreach offers food vouchers, propane vouchers, prescription assistance, electric payment assistance, water payment assistance, and rent help as funds allow to those in need from John's River to Ocosta.",,,,,"South Beach Christian Outreach",91-1866846,,
407,,GHCCB,,"Provides the needy with free, clean, suitable clothing to Grays Harbor and northern Pacific Counties.",,,,,"Grays Harbor Community Clothing Bank",,,
408,,GHPHSS,,"Provides public health programs and administration for Mental Health/RSN, Substance Abuse Treatment and supportive employment services for Developmental Disabilities Services.",,,,,"Grays Harbor County Public Health and Social Services Department",,,http://www.healthygh.org
409,,NAMI,,"Supporting those with mental illness, their families and friends, advocacy, and community education.",,,,,"National Alliance on Mental Illness of the Washington Coast",,,http://www.nami-wacoast.org
410,,"Express Personnel Services",,"Applicant can apply for short-term, long-term, temporary, and temp-to-hire positions.  Jobs available include those in office, tech, and labor.",,,,,"Express Employment Professionals - Clallam",20-0704922,,http://www.expresspros.com
411,,"Dr. Greg Hare",,"For eye exams and purchasing glasses, frames, and contacts.",,,,,"Olympic Optical",,,
412,,TACC,,"The Tri-Area Community Center offers Wi-Fi and classes, Senior Nutrition, kitchen & room rental space. Meeting room space is provided for programs and activities of an informational, educational, cultural or civic nature primarily, and for other organizations as space and time is available. All community meetings must be open to the public at no charge.",,,,,"Tri-Area Community Center",,,
413,,"Omni Dental",,"ABC Dental is a dental office formerly known as Omni Dental.  This office provides dental services for adults and children with medical coupons.",,,,,"ABC Dental Care",,,
414,,,,"One of the largest suppliers of home medical equipment and supplies serving the Kitsap Peninsula, including Bainbridge Island, North Mason County, Port Townsend, Sequim, Gig Harbor, Bremerton, Port Orchard, Silverdale, and Poulsbo.",,,,,"Farrell's Home Health",,,http://www.farrellshomehealth.com
