id,location_id,program_id,accepted_payments,alternate_name,description,eligibility,email,fees,funding_sources,application_process,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
1022,465,,,,"Women, Infants and Children (WIC) provides supplemental nutrition for qualifying pregnant and/or breastfeeding women, their infants and high-risk children. Families are provided with nutritional education, counseling and food vouchers.  Eligibility: Must meet financial guidelines and have a nutritional need. There is no cost to participate in the program. Call (800) 841-1410 for the office nearest you.","Must meet financial guidelines and nutritional need.",,None.,,"Call for more information.",,,,"WIC - Women Infants & Children",,Clallam,active,,http://www.clallam.net/healthservices,"B,L,N,BD,LH,NL,BD-1800,LH-2700,NL-6000,BD-1800.8200,LH-2700.6000,NL-6000.9500,BD-1800.8200-250"
1023,463,,,,"Provides services to control and prevent contagious diseases including tuberculosis and sexually transmitted diseases.  Provides immunizations for children, shots needed for travel outside the United States, and free information about communicable diseases.","No restrictions.",churst@co.clallam.wa.us,"Varies depending on the service. WA Apple Health (Medicaid) accepted for some immunizations.  No private insurances.",,"Call or walk in for assistance.",,,,"Communicable Diseases and Immunizations",,Clallam,active,,http://www.clallam.net/healthservices,"J,L,JP,LF,LT,JP-1500,LF-4900,LT-3400,JP-1500.1700,LF-4900.8600,LT-3400.0100,LT-3400.1500,LT-3400.2000,LT-3400.8500,JP-1500.1700-330,JP-1500.1700-800,JP-1500.1700-900"
1024,463,,,,"Provides HIV/AIDS information to groups and individuals; case management and support services for people with HIV positive results or AIDS are available.","Open to syringe exchange program only.",churst@co.clallam.wa.us,"Accepts private pay and WA Apple Health (Medicaid).",,"Call for more information.",,,,"Sexually Transmitted Diseases and HIV/AIDS",,Clallam,active,,http://www.clallam.net/healthservices,"L,P,LF,LH,LJ,LT,PN,LF-4900,LH-2700,LJ-8000,LT-1750,PN-8100,LF-4900.2400,LF-4900.8000,LH-2700.0150,LJ-8000.8000,LT-1750.0500,PN-8100.1000,PN-8100.1000-850"
1025,463,,,,"Syringes are exchanged one-for-one for used, secondary exchange, or healthcare referrals. Hepatitis A and B vaccines at no cost while supplies last. Information or referral for treatment is available upon request.","No restrictions.",churst@co.clallam.wa.us,None.,,"Call or walk in for more information.",,,,"Syringe Exchange Services",,Clallam,active,,http://www.clallam.net/HHS/PublicHealth/syringeservices.html,"L,T,LH,LT,TE,LH-5000,LT-3400,TE-8920,LH-5000.6100,LT-3400.0100,TE-8920.7200,TE-8920.7200-500"
1026,463,,,,"Individuals born in Washington State after 1922 can get certified copies of their birth certificate through this office.  If you were born before 1922 you must get your birth certificate from Olympia. Death Certificates for persons of Clallam County who died in Clallam County are held for 60 days and then are sent to the state office in Olympia. If a Clallam County resident dies elsewhere, the certificate can be claimed from Olympia. You can call for further details or questions.","No restrictions.",churst@co.clallam.wa.us,"$20 for birth and death certificates",,"Call for more information.",,,,"Vital Records",,Clallam,active,,http://www.clallam.net/healthservices,"D,T,DF,TJ,DF-7000,TJ-8000,DF-7000.1200,DF-7000.1700,TJ-8000.1500,DF-7000.1700-300"
1027,463,,,,"Women, Infants and Children (WIC) provides supplemental nutrition for qualifying pregnant and/or breastfeeding women, their infants and high-risk children. Families are provided with nutritional education, counseling and food vouchers.  Eligibility: Must meet financial guidelines and have a nutritional need. There is no cost to participate in the program. Call (800) 841-1410 for the office nearest you.","Must meet financial guidelines and nutritional need.",churst@co.clallam.wa.us,None.,,"Call for more information.",,,,"WIC - Women Infants & Children",,Clallam,active,,http://www.clallam.net/healthservices,"B,L,N,BD,LH,NL,BD-1800,LH-2700,NL-6000,BD-1800.8200,LH-2700.6000,NL-6000.9500,BD-1800.8200-250"
1028,466,,,,"4-H is a positive youth development program, led by caring adult volunteers, that focuses on the development of life-skills in youth 5-19 years of age through a variety of projects.  4-H learning experiences are designed to help youth ""do, reflect and apply"" the lesson to life situations.  4-H members build self-confidence, make responsible decisions, give back to their community, discover the value of teamwork and expand their communication skills through self-chosen projects in which they have high interest.  4-H engages youth in life skill development in order to help youth become productive, caring, capable citizens who are prepared to transition into adulthood.","For youth 5-19 years of age.",awbergstrom@wsu.edu,"$20 per year.",,"Contact 4-H by phone or go to their website to enroll.",,,,"4-H Youth Development Program",,Kitsap,active,,http://kitsap.wsu.edu/,"H,P,HH,PH,PS,HH-0500,PH-6200,PS-9800,HH-0500.1850,PH-6200.4500,PS-9800.9670"
1029,466,,,,"Offers free educational materials and classes to help those with limited income to prepare nutritious foods on a budget, understand healthy eating, food safety, and meal planning.","No restrictions.",awbergstrom@wsu.edu,None.,,"Call for more information.",,,,"Food Sense Nutrition Education",,Kitsap,active,,http://county.wsu.edu/kitsap/health/Pages/default.aspx,"L,LH,LH-2700,LH-2700.6000"
1030,466,,,,"Helps to solve gardening issues and provide research-based advice to the public.  Volunteer regularly operate gardening and diagnostic clinics throughout the summer season.","No restrictions.",awbergstrom@wsu.edu,"$170 for class.",,"Call for more information.",,,,"Master Gardeners",,Kitsap,active,,http://county.wsu.edu/kitsap/gardening/Pages/Master_Gardeners.aspx,"B,P,BD,PX,BD-2600,PX-1700,BD-2600.3000"
1031,466,,,,"Offers a program for parents and youth 10-14 years of age to work together to help reduce aggressive or withdrawn behaviors, negative peer influences, social skills, poor school performance, and poor parent/caregiver relationship with child.  The class operates in a format of seven two-hour classes, with childcare and dinner provided.  Parents and youth meet in separate groups for the first hour, families practice skills together the next hour.

Parent topics include: using love and limits, encouraging good behavior, building bridges, making house rules, and protecting against substance abuse.
Youth topics include: having goals and dreams, appreciating parents, dealing with stress, handling peer pressure, following house rules, and reaching out to others.
Family topics include: supporting goals and dreams, appreciating family members, understanding family values, using family meetings, building family communication, and reaching family goals.","For parents/caregivers and children 10-14 years of age.",awbergstrom@wsu.edu,None.,,"Call for more information.",,,,"Strengthening Families",,Kitsap,active,,http://county.wsu.edu/kitsap/youth/families/Pages/StrengtheningFamilies.aspx,"P,PH,PH-6100,PH-6100.6800"
1032,467,,,,"CLOSES SEPT 2014 - Provides emergency medical care for military, their families, and veterans with TRICARE.","For Active duty or TRICARE beneficiaries.",,"Accepts Tricare / UnitedHealthcare Military & Veterans.",,"Walk in",,,,"Emergency Room",,Kitsap,active,,http://www.med.navy.mil/sites/nhbrem/Pages/default.aspx,"L,LD,LD-1700"
1033,467,,,,"This is the principle Naval health care facility in the area providing inpatient/outpatient services for eligible personnel. The facility provides comprehensive primary care along with a wide range of specialty services including 24-hour emergency care.  Additional services include: TRICARE information assistance, medical social work, expansive health promotions program, family advocacy program for spouse abuse, child abuse, neglect and sexual assault, treatment, case management and referral services.  Appointment number 1-800-404-4506.","Active duty, retired, veteran, and family of same.",,"Accepts Tricare / UnitedHealthcare Military & Veterans.",,"Call to make an appointment.",,,,"Naval Hospital",,Kitsap,active,,http://www.med.navy.mil/sites/nhbrem/Pages/default.aspx,"L,N,LE,LH,LL,LT,LV,NS,LH-6600,LL-3000,LT-3400,LV-2600,LV-5000,LV-8300,NS-8000,LL-3000.5300,LT-3400.0100,LT-3400.1500,LV-8300.2500,NS-8000.9000"
1034,467,,,,"The Mental Health Clinic at the Navy Hospital is for active duty, retired and their dependents.  They primarily come in through a Primary Care Physician referral.  They offer an outpatient treatment with groups, therapy, classes and a child and adolescent outpatient department as well.","For military active duty, retired and their dependents.",,"Accepts TriCare / UnitedHealthcare Military & Veterans.",,"Most referrals come through primary care providers.",,,,"Outpatient Navy Mental Health Clinic",,Kitsap,active,,http://www.med.navy.mil/sites/nhbrem/Pages/default.aspx,"L,R,LL,LV,RP,LL-3000,LV-5000,RP-1400,LL-3000.5300,RP-1400.8000,RP-1400.8000-675"
1035,467,,,,"Offers the substance abuse rehabilitation program (SARP) provides a 3-5 week intensive outpatient program for anyone who is retired or active duty in the military.","Retired or active duty individuals in the military.",,"Accepts Tricare / UnitedHealthcare Military & Veterans.",,"Call for more information.",,,,"SARP - Substance Abuse Rehabilitation Program",,Kitsap,active,,http://www.med.navy.mil/sites/nhbrem/Pages/default.aspx,"R,RX,RX-8250,RX-8450,RX-8250.0500,RX-8250.1700,RX-8450.1150,RX-8450.7900"
1036,468,,,,"Provides general medical services to Active Duty service members and their families.","For Active Duty service members and their families.",,"Accepts Tricare / UnitedHealthcare Military & Veterans.",,"Call for more information.",,,,"Health Clinic",,Kitsap,active,,http://www.med.navy.mil/sites/nhbrem/Pages/default.aspx,"L,Y,LE,LV,YN,YZ,LV-2600,YN-0500,YZ-8800,YN-0500.5000,YN-0500.6100"
1037,469,,,,"This is a support group for people who need support and resources to help them deal with having an alcoholic in their lives. Meetings are available online as well. Information about adult and teen meetings are available through this number.  In Al-Anon and Alateen, members share their own experience, strength, and hope with each other. You will meet others who share your feelings and frustrations, if not your exact situation. We come together to learn a better way of life, to find happiness whether the alcoholic is still drinking or not.","No restrictions.",,None.,,"Call or visit the website for meeting times and locations.",,,,"Al-Anon Family Support Groups",,"Kitsap,Mason",active,,http://www.kitsap-al-anon.org,"P,PN,PN-8000,PN-8100,PN-8100.0500,PN-8100.0500-200"
1038,470,,,,"Maintains a current listing of Alcoholics Anonymous support group meetings and Alano social meetings in Jefferson County.","No restrictions.",,None.,,"Call for information about meeting times and locations.",,,,"Alcohol Recovery Support Groups",,Jefferson,active,,http://schedule.area72aa.org/meetings/schedule.php?function=district&district=56,"P,PN,PN-8000,PN-8100,PN-8100.0500,PN-8100.0500-070"
1039,471,,,,"This is a 12-step program designed to help people stop abusing alcohol.","No restrictions.",webmaster@nopaa.com,None.,,"Call for information about meeting times and locations.",,,,"Alcoholics Anonymous Meetings",,Clallam,active,,http://www.nopaa.org,"P,PN,PN-8000,PN-8100,PN-8100.0500,PN-8100.0500-070"
1040,473,,,,"Offers dental service to tribal citizens and the community.  Services include basic dental care and procedures, root canals, crowns/bridges/partials/dentures, and oral surgery.  Accepts WA Apple Health (Medicaid) for youth 0-17 years of age.","Open to the public, priority is given to tribal members.",info@jamestowntribe.org,"Accepts WA Apple Health (Medicaid) for youth 0-17 years of age.",,"Call to make an appointment.",,,,"Dental Clinic",,Clallam,active,,http://www.jamestowntribe.org/programs/hhs/hhs_dental.htm,"L,LF,LV,LF-4900,LV-1600,LF-4900.1670,LV-1600.1700,LV-1600.1750,LV-1600.1800,LV-1600.1980,LV-1600.6300,LV-1600.1750-110"
1041,473,,,,"Provides an intensive outpatient chemical dependency treatment program to youth and adult tribal members.  Services include drug/alcohol evaluations and court-ordered DUI assessments.","Serves youth and adult tribal members.",info@jamestowntribe.org,"Accepts private pay and most insurances.",,"Call for more information.",,,,"Outpatient Treatment Services",,Clallam,active,,http://www.jamestowntribe.org,"R,Y,RX,YF,YH,RX-0400,RX-8450,YF-8000,YH-6000,RX-0400.1500,RX-0400.1600,RX-8450.1150,YF-8000.0500,YF-8000.1800,YH-6000.6000,YF-8000.0500-850,YF-8000.1800-850"
1042,473,,,,"The four tribes in Clallam and Jefferson Counties would like to offer their services and support to Native Americans, and Alaskan Natives who reside in the two counties. To receive assistance, please contact Tribal Center nearest you or call Health and Human Services at (360)681-3408.","For American Indian and Alaskan Natives.",info@jamestowntribe.org,None.,,"Call or walk in for more information.",,,,"Tribal Center",,"Clallam,Jefferson",active,,http://www.jamestowntribe.org,"D,F,L,N,P,T,DF,FC,FL,FT,LN,NL,PL,PX,TA,TD,DF-7000,FC-9000,FL-8800,FT-5950,LN-3300,NL-1000,PL-7000,PX-1800,PX-3000,TA-1550,TA-1700,TA-5500,TD-1600,DF-7000.8500,NL-1000.6000,TA-5500.3000,TD-1600.3100,TD-1600.3100-200"
1043,473,,,,"Provides monthly food vouchers and dietary counseling for pregnant women, infants and small children.  Eligibility is determined by  health/diet risk screening and meeting income requirements.","No restrictions.",info@jamestowntribe.org,None.,,"Call for more information.",,,,"WIC - Women, Infants, and Children",,Clallam,active,,http://www.jamestowntribe.org,"N,NL,NL-6000,NL-6000.9500"
1044,472,,,,"The Tribe operates the Jamestown Family Health Clinic in the City of Sequim to provide primary health care services to Tribal citizens and non tribal community members seeking quality care.   Primarily service tribal citizens, which are encouraged to receive services through the clinic.  Tribal citizens who need assistance accessing clinic services may contact Dianna Upton at 360-582-4889 or Gene Burwell at 360-582-4888.

The medical providers at the clinic have a number of specialities including preventative care for all ages, well baby care, geriatric care in nursing homes or assisted living settings, disease management for chronic medical conditions, women's health issues, family planning and other primary care services.

24-hour emergency services are available to patients.  You must call the clinic and leave a message with the answering service to page the on-call physician.  For life threatening emergencies dial 9-1-1.","Primarily service tribal citizens, which are encouraged to receive services through the clinic",info@jamestowntribe.org,"Accepts Medicaid.",,"Call for more information.",,,,"Family Health Clinic",,Clallam,active,,http://www.jamestowntribe.org/programs/hhs/hhs_clinic.htm,"L,Y,LD,LE,LF,LJ,LN,LV,YH,YZ,LD-1700,LF-7000,LJ-2000,LN-3300,LV-2600,LV-3300,LV-6000,LV-6800,YH-6000,YZ-2050,LF-7000.1700,LF-7000.9500,LJ-2000.1000,LV-3300.2900,LV-6800.0300,YH-6000.6000,LJ-2000.1000-100,LJ-2000.1000-150,LJ-2000.1000-800"
1045,474,,,,"Provides fire services to Port Townsend, Chimacum, Port Hadlock, and Irondale.  EMERGENCY DIAL 9-1-1.","No restrictions.",estewart@ejfr.org,None.,,"Call for more information.",,,,"Fire Services",,Jefferson,active,,http://www.ejfr.org,"J,L,P,JR,LJ,PX,JR-1900,LJ-5000,PX-1900,JR-1900.2000,LJ-5000.8000"
1046,475,,,,"Provides fire services to Port Townsend, Chimacum, Port Hadlock, and Irondale.  EMERGENCY DIAL 9-1-1.","No restrictions.",estewart@ejfr.org,None.,,"Call for more information.",,,,"Fire Services",,Jefferson,active,,http://www.ejfr.org,"J,L,P,JR,LJ,PX,JR-1900,LJ-5000,PX-1900,JR-1900.2000,LJ-5000.8000"
1047,476,,,,"Provides fire services to Port Townsend, Chimacum, Port Hadlock, and Irondale.  EMERGENCY DIAL 9-1-1.","No restrictions.",estewart@ejfr.org,None.,,"Call for more information.",,,,"Fire Services",,Jefferson,active,,http://www.ejfr.org,"J,L,P,JR,LJ,PX,JR-1900,LJ-5000,PX-1900,JR-1900.2000,LJ-5000.8000"
1048,477,,,,"Provides fire services to Port Townsend, Chimacum, Port Hadlock, and Irondale.  EMERGENCY DIAL 9-1-1.","No restrictions.",estewart@ejfr.org,None.,,"Call for more information.",,,,"Fire Services",,Jefferson,active,,http://www.ejfr.org,"J,L,P,JR,LJ,PX,JR-1900,LJ-5000,PX-1900,JR-1900.2000,LJ-5000.8000"
1049,479,,,,"Navy Youth Programs in association with Boys and Girls Club offers 3 Youth Centers for children and teens of active dependents or retirees or any dependent of a person in a governmental position.  This is an after school program with all sorts of recreation and after school activities available as well as offering aid with homework.  One Youth Center is located in Jackson Park Housing and the other two Navy Youth Centers are located on Bangor Base at the Admiral Boorda Center and Lighthouse.  Operation times may vary, please call for more details.","Children and teens of active dependents or retirees or any dependent of a person in a governmental position.",,"Call for more information.",,"Call for more information.",,,,"Navy Youth Programs",,Kitsap,active,,http://begreatwa.org,"P,PS,PX,PS-9800,PX-2000,PS-9800.1000"
1050,478,,,,"Navy Youth Programs in association with Boys and Girls Club offers 3 Youth Centers for children and teens of active dependents or retirees or any dependent of a person in a governmental position.  This is an after school program with all sorts of recreation and after school activities available as well as offering aid with homework.  One Youth Center is located in Jackson Park Housing and the other two Navy Youth Centers are located on Bangor Base at the Admiral Boorda Center and Lighthouse.  Operation times may vary, please call for more details.","Children and teens of active dependents or retirees or any dependent of a person in a governmental position.",,"Call for more information.",,"Call for more information.",,,,"Navy Youth Programs",,Kitsap,active,,http://begreatwa.org,"P,PS,PX,PS-9800,PX-2000,PS-9800.1000"
1051,481,,,,"Offers a 24-hour nurse hotline provided by Community Health Plan of Washington to answers health related questions, help determine what kind of care is needed, and and can set up a doctor's appointment after hours.","Hotline is intended for, but not limited to, patients with a Washington state health insurance like Community Health Plan of Washington, Basic Health, Healthy Options/CHIP, DSHS Medical Care Services, Washington Health Program, Medicare Advantage, and oth",jkreidler@pchsweb.org,None.,,"Call for assistance.",,,,"24-hour Nurse Advice Hotline",,Kitsap,active,,http://www.pchsweb.org,"T,TJ,TJ-3200,TJ-3200.5000"
1052,481,,,,"This clinic offers dental care for all children and for established PCHS medical patients in a patient-centered medical home model. Can only serve non-established adult patients with emergencies.","Services are primarily for children or established adult patients. Other adults accepted on an emergency basis or if an appointment is cancelled.",jkreidler@pchsweb.org,"Accepts WA Apple Health (Medicaid), sliding scale, and most insurances.",,"Call for more information or walk in for assistance during business hours.",,,,"Dental Services",,Kitsap,active,,http://www.pchsweb.org,"L,LV,LV-1600,LV-1600.1700,LV-1600.1800,LV-1600.1900,LV-1600.2400,LV-1600.6400"
1053,481,,,,"Peninsula Community Health Services (PCHS) is a community based nonprofit organization dedicated to providing comprehensive health care services to residents of Kitsap County.  Offers quality low-cost care for children and adults. Services include primary medical care, dental care, mental health counseling, pharmacy, and health education and promotion activities. Accepts WA Apple Health (Medicaid), Healthy Options, Basic Health, Medicare, United Healthcare Military & Veterans and other private insurance reimbursements.  Patients are charged for services according to a sliding fee scale based on their income. PCHS is also supported by a variety of funding sources including federal, state, local and private grants, the local United Way and community and individual contributions.","No restrictions.",jkreidler@pchsweb.org,"Accepts WA Apple Health (Medicaid), Medicare, Basic Health, Washington Health Program, United Healthcare Military & Veterans, sliding scale, and other private insurances.",,"Call for more information or walk in during business hours for assistance.",,,,"Medical Services",,Kitsap,active,,http://www.pchsweb.org,"L,N,Y,LE,LF,LH,LJ,LN,LT,NL,YC,YF,YJ,YL,LF-4900,LF-7000,LF-7100,LH-6600,LJ-2000,LN-1500,LT-3400,NL-6000,YC-5000,YC-5100,YF-3000,YJ-8800,YL-3300,LF-4900.1500,LF-7000.9500,LF-7100.2500,LJ-2000.1000,LJ-2000.6750,LT-3400.0100,LT-3400.1500,LT-3400.2000,NL-6000.9500,YF-3000.6300,YL-3300.4500,YL-3300.6500,LF-4900.1500-650,LJ-2000.1000-100,LJ-2000.1000-150"
1054,481,,,,"Provides free screening exams, including breast and pelvic examinations, pap tests and referrals for mammograms for low-income women, ages 40 through 64, who are uninsured or underinsured. Also offers screening exams to women, ages 65 years and older, if ineligible for Medicare. Women, ages 35 and older, with symptoms may be eligible.","Women, age 40 through 64 years and age 65+ if ineligible for Medicare. Women, ages 35 and older, with symptoms may be eligible. Must have a household income at or below 200% of the Federal Poverty level. Must be uninsured or have insurance that doesn't co",jkreidler@pchsweb.org,"Free for eligible patients.",,"Call for more information.",,,,"WBCHP - Washington Breast and Cervical Cancer Health Program",,Kitsap,active,,http://www.pchsweb.org,"L,Y,LF,YF,LF-4900,YF-3000,LF-4900.1500,YF-3000.1480,LF-4900.1500-120,LF-4900.1500-650,YF-3000.1480-120"
1055,482,,,,"Peninsula Community Health Services (PCHS) is a community based nonprofit organization dedicated to providing comprehensive health care services to residents of Kitsap County.  Offers quality low-cost care for children and adults. Services include primary medical care, dental care, mental health counseling, pharmacy, and health education and promotion activities. Accepts WA Apple Health (Medicaid), Healthy Options, Basic Health, Medicare, United Healthcare Military & Veterans and other private insurance reimbursements.  Patients are charged for services according to a sliding fee scale based on their income. PCHS is also supported by a variety of funding sources including federal, state, local and private grants, the local United Way and community and individual contributions.","No restrictions.",jkreidler@pchsweb.org,"Accepts WA Apple Health (Medicaid), Medicare, Basic Health, Washington Health Program, United Healthcare Military & Veterans, sliding scale, and other private insurances.",,"Call for more information or walk in during business hours for assistance.",,,,"Medical Services",,Kitsap,active,,http://www.pchsweb.org,"L,N,Y,LE,LF,LH,LJ,LN,LT,NL,YC,YF,YJ,YL,LF-4900,LF-7000,LF-7100,LH-6600,LJ-2000,LN-1500,LT-3400,NL-6000,YC-5000,YC-5100,YF-3000,YJ-8800,YL-3300,LF-4900.1500,LF-7000.9500,LF-7100.2500,LJ-2000.1000,LJ-2000.6750,LT-3400.0100,LT-3400.1500,LT-3400.2000,NL-6000.9500,YF-3000.6300,YL-3300.4500,YL-3300.6500,LF-4900.1500-650,LJ-2000.1000-100,LJ-2000.1000-150"
1056,482,,,,"Provides free screening exams, including breast and pelvic examinations, pap tests and referrals for mammograms for low-income women, ages 40 through 64, who are uninsured or underinsured. Also offers screening exams to women, ages 65 years and older, if ineligible for Medicare. Women, ages 35 and older, with symptoms may be eligible.","Women, age 40 through 64 years and age 65+ if ineligible for Medicare. Women, ages 35 and older, with symptoms may be eligible. Must have a household income at or below 200% of the Federal Poverty level. Must be uninsured or have insurance that doesn't co",jkreidler@pchsweb.org,"Free for eligible patients.",,"Call for more information.",,,,"WBCHP - Washington Breast and Cervical Cancer Health Program",,Kitsap,active,,http://www.pchsweb.org,"L,Y,LF,YF,LF-4900,YF-3000,LF-4900.1500,YF-3000.1480,LF-4900.1500-120,LF-4900.1500-650,YF-3000.1480-120"
1057,484,,,,"Peninsula Community Health Services (PCHS) is a community based nonprofit organization dedicated to providing comprehensive health care services to residents of Kitsap County.  Offers quality low-cost care for children and adults. Services include primary medical care, dental care, mental health counseling, pharmacy, and health education and promotion activities. Accepts WA Apple Health (Medicaid), Healthy Options, Basic Health, Medicare, United Healthcare Military & Veterans and other private insurance reimbursements.  Patients are charged for services according to a sliding fee scale based on their income. PCHS is also supported by a variety of funding sources including federal, state, local and private grants, the local United Way and community and individual contributions.","No restrictions.",jkreidler@pchsweb.org,"Accepts WA Apple Health (Medicaid), Medicare, Basic Health, Washington Health Program, United Healthcare Military & Veterans, sliding scale, and other private insurances.",,"Call for more information or walk in during business hours for assistance.",,,,"Medical Services",,Kitsap,active,,http://www.pchsweb.org,"L,N,Y,LE,LF,LH,LJ,LN,LT,NL,YC,YF,YJ,YL,LF-4900,LF-7000,LF-7100,LH-6600,LJ-2000,LN-1500,LT-3400,NL-6000,YC-5000,YC-5100,YF-3000,YJ-8800,YL-3300,LF-4900.1500,LF-7000.9500,LF-7100.2500,LJ-2000.1000,LJ-2000.6750,LT-3400.0100,LT-3400.1500,LT-3400.2000,NL-6000.9500,YF-3000.6300,YL-3300.4500,YL-3300.6500,LF-4900.1500-650,LJ-2000.1000-100,LJ-2000.1000-150"
1058,484,,,,"Provides free screening exams, including breast and pelvic examinations, pap tests and referrals for mammograms for low-income women, ages 40 through 64, who are uninsured or underinsured. Also offers screening exams to women, ages 65 years and older, if ineligible for Medicare. Women, ages 35 and older, with symptoms may be eligible.","Women, age 40 through 64 years and age 65+ if ineligible for Medicare. Women, ages 35 and older, with symptoms may be eligible. Must have a household income at or below 200% of the Federal Poverty level. Must be uninsured or have insurance that doesn't co",jkreidler@pchsweb.org,"Free for eligible patients.",,"Call for more information.",,,,"WBCHP - Washington Breast and Cervical Cancer Health Program",,Kitsap,active,,http://www.pchsweb.org,"L,Y,LF,YF,LF-4900,YF-3000,LF-4900.1500,YF-3000.1480,LF-4900.1500-120,LF-4900.1500-650,YF-3000.1480-120"
1059,480,,,,"Peninsula Community Health Services (PCHS) is a community based nonprofit organization dedicated to providing comprehensive health care services to residents of Kitsap County.  Offers quality low-cost care for children and adults. Services include primary medical care, dental care, mental health counseling, pharmacy, and health education and promotion activities. Accepts WA Apple Health (Medicaid), Healthy Options, Basic Health, Medicare, United Healthcare Military & Veterans and other private insurance reimbursements.  Patients are charged for services according to a sliding fee scale based on their income. PCHS is also supported by a variety of funding sources including federal, state, local and private grants, the local United Way and community and individual contributions.","No restrictions.",jkreidler@pchsweb.org,"Accepts WA Apple Health (Medicaid), Medicare, Basic Health, Washington Health Program, United Healthcare Military & Veterans, sliding scale, and other private insurances.",,"Call for more information or walk in during business hours for assistance.",,,,"Medical Services",,Kitsap,active,,http://www.pchsweb.org,"L,N,Y,LE,LF,LH,LJ,LN,LT,NL,YC,YF,YJ,YL,LF-4900,LF-7000,LF-7100,LH-6600,LJ-2000,LN-1500,LT-3400,NL-6000,YC-5000,YC-5100,YF-3000,YJ-8800,YL-3300,LF-4900.1500,LF-7000.9500,LF-7100.2500,LJ-2000.1000,LJ-2000.6750,LT-3400.0100,LT-3400.1500,LT-3400.2000,NL-6000.9500,YF-3000.6300,YL-3300.4500,YL-3300.6500,LF-4900.1500-650,LJ-2000.1000-100,LJ-2000.1000-150"
1060,480,,,,"Provides free screening exams, including breast and pelvic examinations, pap tests and referrals for mammograms for low-income women, ages 40 through 64, who are uninsured or underinsured. Also offers screening exams to women, ages 65 years and older, if ineligible for Medicare. Women, ages 35 and older, with symptoms may be eligible.","Women, age 40 through 64 years and age 65+ if ineligible for Medicare. Women, ages 35 and older, with symptoms may be eligible. Must have a household income at or below 200% of the Federal Poverty level. Must be uninsured or have insurance that doesn't co",jkreidler@pchsweb.org,"Free for eligible patients.",,"Call for more information.",,,,"WBCHP - Washington Breast and Cervical Cancer Health Program",,Kitsap,active,,http://www.pchsweb.org,"L,Y,LF,YF,LF-4900,YF-3000,LF-4900.1500,YF-3000.1480,LF-4900.1500-120,LF-4900.1500-650,YF-3000.1480-120"
1061,485,,,,"An extension of services that provides a place for law enforcement to conduct forensic, recorded interviews with children who have been assaulted, sexually abused, or neglected to help reduce the trauma to the child.","For battered, sexually assaulted, or neglected youth.",healfam@olypen.com,None.,,"Call or walk-in for assistance.",,,,"Child Advocacy Services",,Clallam,active,,http://www.healthyfam.org,"F,R,Y,FN,FT,RP,YX,YZ,FN-2150,FT-3000,RP-1400,YX-0500,YZ-1450,FT-3000.1450,RP-1400.8000,YX-0500.6000,YX-0500.6400,YX-0500.8000,RP-1400.8000-020,RP-1400.8000-020.15"
1062,485,,,,"Currently, Healthy Families provides child abuse prevention and treatment services, including parenting classes, support groups, educational clinics for divorcing parents, and in-home parent aides; domestic violence and sexual assault prevention, intervention, counseling, advocacy, and emergency and transitional shelter.  The agency's mission is to provide a wide range of services empowering Clallam County children, youth, adults and families to achieve their potential, improve their behavioral health, and live free of violence and abuse.","No restrictions.",healfam@olypen.com,None.,,"Call or walk-in for assistance.",,,,"Domestic Violence/Sexual Assault/Parenting Education Support",,Clallam,active,,http://www.healthyfam.org,"F,P,R,FN,FP,FT,PH,PN,RP,FN-1500,FN-1900,FP-0500,FT-3000,PH-6100,PN-8100,RP-1400,RP-1500,FN-1500.1900,FN-1500.8150,FN-1500.9100,FN-1900.2500,FP-0500.3300,FT-3000.1750,PH-6100.6800,PN-8100.0200,RP-1400.8000,RP-1500.1400,FN-1500.1900-150,FN-1500.8150-150,FN-1500.9100-180,PN-8100.0200-180,RP-1400.8000-020,RP-1500.1400-200,RP-1500.1400-750,RP-1400.8000-020.15"
1063,485,,,,"Emergency shelter is provided for up to 12 months to women and children who are in immediate danger. The exact location of the 15 bed shelter is kept confidential to protect the safety of the residents. All residents receive lodging, food, clothing, crisis counseling and emotional support.
","Call for more information.",healfam@olypen.com,None.,,"Call to apply.  Dial 452-3811 during the day, and 452-4357 after hours.",,,,"Emergency Domestic Violence Shelter",,Clallam,active,,http://www.healthyfam.org,"B,BH,BH-1800,BH-1800.1500,BH-1800.1500-100"
1064,485,,,,"Rose House is a transitional home with safe, stable and supportive housing for women and children who have left violent relationships and are on the path of recovering their lives.  Residents pay rent/utilities based on their income level and can stay for up to 12 months.  Therapy groups for both adults and children are provided at no charge.","Call for more information.",healfam@olypen.com,"Based on income level.",,"Call for more information.",,,,"Rose House Transitional Housing",,Clallam,active,,http://www.healthyfam.org,"B,Y,BH,YZ,BH-8600,YZ-1750"
1065,486,,,,"This agency provides transportation for seniors and the disabled. Rides can be for medical appointments, grocery shopping, etc.  There is a fee of $1.25 and .75 cents for seniors for a one-way ride.  Please call 24 hours ahead to book a ride.  Call for eligibility  requirements.","Senior and individuals with disabilities.",lsmedley@jeffersontransit.com,"Fare is $1 per ride
Convenience Passes - $10-20",,"Call at least 24 hours in advance.",,,,Dial-a-Ride,,Jefferson,active,,http://www.jeffersontransit.com,"B,BT,BT-4500,BT-8400,BT-4500.4700,BT-8400.8500,BT-4500.4700-500"
